total_index,repo_id,repo_name,owner_id,owner_type,full_name,create_date,update_date,topics,language,contributors,contributor_counts,stargazer_counts,forker_counts,keyword,readme_url,read_length,is_it_forked_repo,open_issues,original_repo
15,21924216,lightning-base,6507619,organization,frc-862/lightning-base,2014-07-17 1:26,2015-02-02 3:45,,LabVIEW,"['8185716', '2311']",2,2,0,autonomous-drive,https://github.com/frc-862/lightning-base,529.0,False,14,
59,53937315,aadc2016,8257565,organization,fzi-forschungszentrum-informatik/aadc2016,2016-03-15 10:58,2020-06-04 21:13,,JavaScript,"['17647513', '8257553']",2,13,7,autonomous driving,https://github.com/fzi-forschungszentrum-informatik/aadc2016,2622.0,False,0,
60,53936925,oadrive-bsd,8257565,organization,fzi-forschungszentrum-informatik/oadrive-bsd,2016-03-15 10:52,2019-05-31 9:09,,JavaScript,"['17647513', '8257553']",2,2,3,autonomous driving,https://github.com/fzi-forschungszentrum-informatik/oadrive-bsd,2441.0,False,0,
62,53988135,buzzmobile,3228622,organization,gtagency/buzzmobile,2016-03-16 0:23,2019-12-11 14:29,ros-indigo#autonomous-vehicles#reactive-control,Python,"['7386247', '5044224', '4457086', '7612891', '3252741', '8015834', '4705646', '15553628', '10734779', '14867137']",10,18,2,autonomous-vehicle,https://github.com/gtagency/buzzmobile,7889.0,False,59,
102,70769134,GoKart,21068585,organization,FoothillCSClub/GoKart,2016-10-13 4:32,2018-05-29 15:42,self-driving-car,Python,"['16700677', '23088005', '15149002', '25494690', '28994836', '11370512', '20246423', '17543309']",8,7,3,self-driving,https://github.com/FoothillCSClub/GoKart,808.0,False,0,
176,76095264,donkeycar,37945231,organization,autorope/donkeycar,2016-12-10 6:35,2021-03-24 13:52,self-driving-car#raspberry-pi#tensorflow#keras#python#cv2#vision,Python,"['173287', '147582', '11770912', '47540921', '218842', '6903470', '7982015', '624211', '1480252', '1163329', '51209741', '1134287', '3150680', '1367650', '529837', '1878018', '18071', '4088291', '15193605', '2345041', '47036409', '15899797', '779786', '1146050', '6036508', '2440892', '4852160', '25161278', '4720401', '4784288', '1910508', '481909', '5546755', '17356275', '1312111', '3646505', '40873334', '1958494', '4632566', '469662', '12226189', '4344566', '2230202', '282217', '20630345', '664469', '873053', '1758353', '6927011', '111700', '4450166', '8199062', '32651204', '2083175', '411847', '674055', '2193516', '831038', '891364', '282809', '18071029', '766788', '31427850', '1158382', '10385335', '39240649', '6387630', '3614532', '59344', '10344482', '25672605', '208070', '159568', '3459416', '23312465', '519869', '38923282', '293608', '21932', '11710523', '112011', '66942795', '8548829', '135933', '38004233', '47873678', '20616185', '808254', '4115730', '6851604', '557985', '1856934', '22504698', '11676283', '11862212', '9197727', '33790562', '1954516', '31220506', '4599735', '37561793', '8622180', '23151113', '39029702', '45476269']",105,2061,1068,self-driving,https://github.com/autorope/donkeycar,2406.0,False,62,
191,76246444,automated_driving_msgs,8257565,organization,fzi-forschungszentrum-informatik/automated_driving_msgs,2016-12-12 10:31,2021-03-24 4:20,,CMake,"['22504347', '22795364']",2,2,1,automated-driving,https://github.com/fzi-forschungszentrum-informatik/automated_driving_msgs,420.0,False,0,
241,78113477,OPAVES,7767877,organization,AdaCore/OPAVES,2017-01-05 13:04,2021-01-28 15:20,,C,"['12136138', '5286422', '16334725', '480233', '859440']",5,20,9,autonomous-vehicle,https://github.com/AdaCore/OPAVES,668.0,False,0,
264,79462459,AgentPlatooning,10088469,organization,VerifiableAutonomy/AgentPlatooning,2017-01-19 14:41,2019-08-12 17:13,,Java,"['9676229', '13151678']",2,5,3,autonomous-vehicle,https://github.com/VerifiableAutonomy/AgentPlatooning,3440.0,False,0,
267,79587074,CarND-TensorFlow-Lab-Fork,1916665,organization,udacity/CarND-TensorFlow-Lab-Fork,2017-01-20 18:45,2020-12-23 22:43,,Jupyter Notebook,"['4749091', '1691603', '587295', '1867895']",4,14,22,self-driving,https://github.com/udacity/CarND-TensorFlow-Lab-Fork,3378.0,False,0,
