Id,Label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,forks,cluster
fzi-forschungszentrum-informatik/aadc2016,fzi-forschungszentrum-informatik/aadc2016,,,,,,,,0
fzi-forschungszentrum-informatik/oadrive-bsd,fzi-forschungszentrum-informatik/oadrive-bsd,,,,,,,,0
autorope/donkeycar,autorope/donkeycar,,4.0,0.41116800000000003,0.457819,0.015776,0.0,50.0,5
OpenSimulationInterface/open-simulation-interface,OpenSimulationInterface/open-simulation-interface,,4.0,0.402985,0.43724300000000005,0.0,0.0,25.0,5
ApolloAuto/apollo,ApolloAuto/apollo,,3.0,0.637795,0.740741,0.250404,4.0,60.0,4
jayway/robocar-rally-lab,jayway/robocar-rally-lab,,5.0,0.293478,0.31790100000000004,0.0,0.0,20.0,5
bmj-autonomous/donkey_ai,bmj-autonomous/donkey_ai,,5.0,0.296703,0.332305,0.008222,0.0,20.0,0
fubarlabs/foocars,fubarlabs/foocars,,5.0,0.29562,0.32613200000000003,0.0,0.0,25.0,0
MRWolves/donkeycar,MRWolves/donkeycar,,4.0,0.41116800000000003,0.457819,0.015776,0.0,20.0,5
fzi-forschungszentrum-informatik/automated_driving_msgs,fzi-forschungszentrum-informatik/automated_driving_msgs,,5.0,0.303371,0.329218,0.0,1.0,20.0,5
coincar-sim/util_automated_driving_msgs,coincar-sim/util_automated_driving_msgs,,5.0,0.303371,0.329218,0.0,1.0,20.0,5
fzi-forschungszentrum-informatik/Lanelet2,fzi-forschungszentrum-informatik/Lanelet2,,4.0,0.43085100000000004,0.48456800000000005,0.046686,1.0,30.0,4
udacity/CarND-TensorFlow-Lab-Fork,udacity/CarND-TensorFlow-Lab-Fork,,,,,,,,0
joytafty-work/Rimchala_CarND-LaneLines-P1,joytafty-work/Rimchala_CarND-LaneLines-P1,,,,,,,,1
joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,,,,,,,,1
joytafty-work/Rimchala_CarND-Advanced-Lane-Lines,joytafty-work/Rimchala_CarND-Advanced-Lane-Lines,,,,,,,,1
Self-Driving-Car-NDegree-M-Russo/CarND-P1-Lane-Lines,Self-Driving-Car-NDegree-M-Russo/CarND-P1-Lane-Lines,,,,,,,,1
buyforgirl/CarND-LaneLines-P1,buyforgirl/CarND-LaneLines-P1,,,,,,,,0
udacity/self-driving-car-sim,udacity/self-driving-car-sim,,,,,,,,1
udacity/CarND-Extended-Kalman-Filter-Project,udacity/CarND-Extended-Kalman-Filter-Project,,,,,,,,1
udacity/CarND-Unscented-Kalman-Filter-Project,udacity/CarND-Unscented-Kalman-Filter-Project,,,,,,,,1
teamsoulless/self-driving-car-sim,teamsoulless/self-driving-car-sim,,,,,,,,1
tokyo-drift/capstone-project,tokyo-drift/capstone-project,,,,,,,,1
ZhuiFengChaseWind/Self-Driving_Car_Capstone,ZhuiFengChaseWind/Self-Driving_Car_Capstone,,,,,,,,1
udacity/isdc-router-planner-project,udacity/isdc-router-planner-project,,,,,,,,1
unstoppables/Real-Self-Driving-Car,unstoppables/Real-Self-Driving-Car,,,,,,,,1
bedlamite5/CarND-Capstone,bedlamite5/CarND-Capstone,,,,,,,,1
joytafty-work/Rimchala_CarND-Vehicle-Detection,joytafty-work/Rimchala_CarND-Vehicle-Detection,,,,,,,,1
TeamPerceptronics/Capstone,TeamPerceptronics/Capstone,,,,,,,,1
TeamDoernbach/SDCNanodegreeCapstone,TeamDoernbach/SDCNanodegreeCapstone,,,,,,,,1
deepdrive/deepdrive-zero,deepdrive/deepdrive-zero,,,,,,,,0
udacity-om/CarND-Capstone,udacity-om/CarND-Capstone,,,,,,,,1
whats-in-a-name/CarND-Capstone,whats-in-a-name/CarND-Capstone,,,,,,,,1
monoDriveIO/documentation,monoDriveIO/documentation,,,,,,,,1
waymo-research/waymo-open-dataset,waymo-research/waymo-open-dataset,,4.0,0.452514,0.48353900000000005,0.003662,2.0,35.0,4
microsoft/AirSim,microsoft/AirSim,,4.0,0.44505500000000003,0.494856,0.03574,2.0,55.0,2
carla-simulator/carla,carla-simulator/carla,,4.0,0.437838,0.493827,0.057883000000000004,2.0,50.0,2
microsoft/AutonomousDrivingCookbook,microsoft/AutonomousDrivingCookbook,,5.0,0.30916,0.328395,0.0,2.0,40.0,2
byu-magicc/kbhackathon,byu-magicc/kbhackathon,,5.0,0.30916,0.328395,0.0,2.0,20.0,2
zju3dv/disprcnn,zju3dv/disprcnn,,5.0,0.30916,0.328395,0.0,2.0,25.0,2
intel-isl/OpenBot,intel-isl/OpenBot,,5.0,0.30916,0.328395,0.0,2.0,35.0,2
TUM-AERIUS/Aerius,TUM-AERIUS/Aerius,,2.0,0.8,0.875,0.0,3.0,20.0,0
VapeRC/Robocar,VapeRC/Robocar,,2.0,0.8,0.875,0.0,3.0,20.0,0
Roboy/autonomous_driving,Roboy/autonomous_driving,,1.0,1.0,1.0,0.000103,3.0,20.0,0
Roboy/autonomous_driving_src,Roboy/autonomous_driving_src,,1.0,1.0,1.0,0.000103,3.0,20.0,0
KNR-Selfie/selfie-archive-cc-iarrc2018,KNR-Selfie/selfie-archive-cc-iarrc2018,,,,,,,,0
KNR-Selfie/selfie_carolocup2019,KNR-Selfie/selfie_carolocup2019,,,,,,,,0
KNR-Selfie/selfie_carolocup2020,KNR-Selfie/selfie_carolocup2020,,,,,,,,0
DolphinDSL/dolphin,DolphinDSL/dolphin,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
matsim-eth/av,matsim-eth/av,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
sigmaai/self-driving-golf-cart,sigmaai/self-driving-golf-cart,,4.0,0.437838,0.532922,0.0,4.0,25.0,5
deepdrive/deepdrive,deepdrive/deepdrive,,4.0,0.44505500000000003,0.5432100000000001,0.006527,4.0,30.0,5
amodeus-science/amod,amodeus-science/amod,,4.0,0.440217,0.539095,0.008222,4.0,25.0,5
BeamNG/BeamNGpy,BeamNG/BeamNGpy,,4.0,0.440217,0.539095,0.008222,4.0,25.0,5
CivicTechVancouver/civic-tech-yvr-16,CivicTechVancouver/civic-tech-yvr-16,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
bark-simulator/bark,bark-simulator/bark,,4.0,0.440217,0.539095,0.004296,4.0,25.0,5
continental/ecal,continental/ecal,,4.0,0.437838,0.532922,0.0,4.0,25.0,5
tier4/AutomanTools,tier4/AutomanTools,,4.0,0.44262299999999993,0.5411520000000001,0.008248,4.0,25.0,5
cv-core/MIT-Driverless-CV-TrainingInfra,cv-core/MIT-Driverless-CV-TrainingInfra,,4.0,0.437838,0.532922,0.0,4.0,25.0,5
Robofied/Awesome-Computer-Vision-Guide,Robofied/Awesome-Computer-Vision-Guide,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
JdeRobot/BehaviorStudio,JdeRobot/BehaviorStudio,,4.0,0.437838,0.532922,0.0,4.0,25.0,5
IMAGINARY/ethics-vehicles,IMAGINARY/ethics-vehicles,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
hyrise/Cockpit,hyrise/Cockpit,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
42-AI/42ai_autonomous_cars,42-AI/42ai_autonomous_cars,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
smoke-trees/gesture-drive,smoke-trees/gesture-drive,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
Photon-Lab/LiDAR-Robo-Car,Photon-Lab/LiDAR-Robo-Car,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
tsinghua-rll/VoxelNet-tensorflow,tsinghua-rll/VoxelNet-tensorflow,,4.0,0.391304,0.417695,0.0,4.0,30.0,4
lgsvl/simulator,lgsvl/simulator,,4.0,0.407035,0.441358,0.00036,1.0,40.0,4
generalized-intelligence/GAAS,generalized-intelligence/GAAS,,,,,,,,4
lgsvl/lanefollowing,lgsvl/lanefollowing,,4.0,0.393204,0.423868,0.0,1.0,25.0,4
nap-lab/apollo-documentation,nap-lab/apollo-documentation,,4.0,0.391304,0.417695,0.0,4.0,20.0,4
for-geeks/geek-car,for-geeks/geek-car,,4.0,0.393204,0.423868,0.0,4.0,20.0,5
tareeq-av/tareeqav,tareeq-av/tareeqav,,4.0,0.395122,0.425926,0.008222,6.0,20.0,4
HotzoneAuto/diamond-auto,HotzoneAuto/diamond-auto,,4.0,0.393204,0.423868,0.0,4.0,20.0,5
ROBOTIS-GIT/autorace_track,ROBOTIS-GIT/autorace_track,,,,,,,,0
ROBOTIS-GIT/turtlebot3_autorace,ROBOTIS-GIT/turtlebot3_autorace,,,,,,,,0
NGCP/GCS,NGCP/GCS,,,,,,,,0
NGCP/MAVSS,NGCP/MAVSS,,,,,,,,0
intel/ad-rss-lib,intel/ad-rss-lib,,5.0,0.30566,0.32674899999999996,0.0,2.0,25.0,2
CSLDepend/AVFI,CSLDepend/AVFI,,5.0,0.30916,0.337037,0.0,2.0,20.0,2
argos-research/autonomous-driving,argos-research/autonomous-driving,,5.0,0.30566,0.32674899999999996,0.0,2.0,20.0,2
