Id,Label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,forks,cluster
fzi-forschungszentrum-informatik/aadc2016,fzi-forschungszentrum-informatik/aadc2016,,,,,,,,
fzi-forschungszentrum-informatik/oadrive-bsd,fzi-forschungszentrum-informatik/oadrive-bsd,,,,,,,,
autorope/donkeycar,autorope/donkeycar,,4,0.411168,0.457819,0.015776,0,50,1
OpenSimulationInterface/open-simulation-interface,OpenSimulationInterface/open-simulation-interface,,4,0.402985,0.437243,0,0,25,3
ApolloAuto/apollo,ApolloAuto/apollo,,3,0.637795,0.740741,0.250404,4,60,4
jayway/robocar-rally-lab,jayway/robocar-rally-lab,,5,0.293478,0.317901,0,0,20,3
bmj-autonomous/donkey_ai,bmj-autonomous/donkey_ai,,5,0.296703,0.332305,0.008222,0,20,3
fubarlabs/foocars,fubarlabs/foocars,,5,0.29562,0.326132,0,0,25,3
MRWolves/donkeycar,MRWolves/donkeycar,,4,0.411168,0.457819,0.015776,0,20,1
fzi-forschungszentrum-informatik/automated_driving_msgs,fzi-forschungszentrum-informatik/automated_driving_msgs,,5,0.303371,0.329218,0,1,20,3
coincar-sim/util_automated_driving_msgs,coincar-sim/util_automated_driving_msgs,,5,0.303371,0.329218,0,1,20,3
fzi-forschungszentrum-informatik/Lanelet2,fzi-forschungszentrum-informatik/Lanelet2,,4,0.430851,0.484568,0.046686,1,30,1
udacity/CarND-TensorFlow-Lab-Fork,udacity/CarND-TensorFlow-Lab-Fork,,,,,,,,
joytafty-work/Rimchala_CarND-LaneLines-P1,joytafty-work/Rimchala_CarND-LaneLines-P1,,,,,,,,
joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,,,,,,,,
joytafty-work/Rimchala_CarND-Advanced-Lane-Lines,joytafty-work/Rimchala_CarND-Advanced-Lane-Lines,,,,,,,,
Self-Driving-Car-NDegree-M-Russo/CarND-P1-Lane-Lines,Self-Driving-Car-NDegree-M-Russo/CarND-P1-Lane-Lines,,,,,,,,
buyforgirl/CarND-LaneLines-P1,buyforgirl/CarND-LaneLines-P1,,,,,,,,
udacity/self-driving-car-sim,udacity/self-driving-car-sim,,,,,,,,
udacity/CarND-Extended-Kalman-Filter-Project,udacity/CarND-Extended-Kalman-Filter-Project,,,,,,,,
udacity/CarND-Unscented-Kalman-Filter-Project,udacity/CarND-Unscented-Kalman-Filter-Project,,,,,,,,
teamsoulless/self-driving-car-sim,teamsoulless/self-driving-car-sim,,,,,,,,
tokyo-drift/capstone-project,tokyo-drift/capstone-project,,,,,,,,
ZhuiFengChaseWind/Self-Driving_Car_Capstone,ZhuiFengChaseWind/Self-Driving_Car_Capstone,,,,,,,,
udacity/isdc-router-planner-project,udacity/isdc-router-planner-project,,,,,,,,
unstoppables/Real-Self-Driving-Car,unstoppables/Real-Self-Driving-Car,,,,,,,,
bedlamite5/CarND-Capstone,bedlamite5/CarND-Capstone,,,,,,,,
joytafty-work/Rimchala_CarND-Vehicle-Detection,joytafty-work/Rimchala_CarND-Vehicle-Detection,,,,,,,,
TeamPerceptronics/Capstone,TeamPerceptronics/Capstone,,,,,,,,
TeamDoernbach/SDCNanodegreeCapstone,TeamDoernbach/SDCNanodegreeCapstone,,,,,,,,
deepdrive/deepdrive-zero,deepdrive/deepdrive-zero,,,,,,,,
udacity-om/CarND-Capstone,udacity-om/CarND-Capstone,,,,,,,,
whats-in-a-name/CarND-Capstone,whats-in-a-name/CarND-Capstone,,,,,,,,
monoDriveIO/documentation,monoDriveIO/documentation,,,,,,,,
waymo-research/waymo-open-dataset,waymo-research/waymo-open-dataset,,4,0.452514,0.483539,0.003662,2,35,3
microsoft/AirSim,microsoft/AirSim,,4,0.445055,0.494856,0.03574,2,55,4
carla-simulator/carla,carla-simulator/carla,,4,0.437838,0.493827,0.057883,2,50,4
microsoft/AutonomousDrivingCookbook,microsoft/AutonomousDrivingCookbook,,5,0.30916,0.328395,0,2,40,3
byu-magicc/kbhackathon,byu-magicc/kbhackathon,,5,0.30916,0.328395,0,2,20,3
zju3dv/disprcnn,zju3dv/disprcnn,,5,0.30916,0.328395,0,2,25,0
intel-isl/OpenBot,intel-isl/OpenBot,,5,0.30916,0.328395,0,2,35,0
TUM-AERIUS/Aerius,TUM-AERIUS/Aerius,,2,0.8,0.875,0,3,20,5
VapeRC/Robocar,VapeRC/Robocar,,2,0.8,0.875,0,3,20,5
Roboy/autonomous_driving,Roboy/autonomous_driving,,1,1,1,0.000103,3,20,5
Roboy/autonomous_driving_src,Roboy/autonomous_driving_src,,1,1,1,0.000103,3,20,5
