Id,Label,timeset,Degree,modularity_class,Weighted Degree
autorope/donkeycar,autorope/donkeycar,,6,1,6
OpenSimulationInterface/open-simulation-interface,OpenSimulationInterface/open-simulation-interface,,3,1,3
ApolloAuto/apollo,ApolloAuto/apollo,,41,1,41
jayway/robocar-rally-lab,jayway/robocar-rally-lab,,2,1,2
bmj-autonomous/donkey_ai,bmj-autonomous/donkey_ai,,4,1,4
fubarlabs/foocars,fubarlabs/foocars,,3,1,3
MRWolves/donkeycar,MRWolves/donkeycar,,6,1,6
fzi-forschungszentrum-informatik/automated_driving_msgs,fzi-forschungszentrum-informatik/automated_driving_msgs,,2,3,2
coincar-sim/util_automated_driving_msgs,coincar-sim/util_automated_driving_msgs,,2,3,2
fzi-forschungszentrum-informatik/Lanelet2,fzi-forschungszentrum-informatik/Lanelet2,,8,3,8
waymo-research/waymo-open-dataset,waymo-research/waymo-open-dataset,,4,4,4
microsoft/AirSim,microsoft/AirSim,,8,4,8
carla-simulator/carla,carla-simulator/carla,,9,4,9
microsoft/AutonomousDrivingCookbook,microsoft/AutonomousDrivingCookbook,,1,4,1
byu-magicc/kbhackathon,byu-magicc/kbhackathon,,1,4,1
zju3dv/disprcnn,zju3dv/disprcnn,,1,4,1
intel-isl/OpenBot,intel-isl/OpenBot,,1,4,1
DolphinDSL/dolphin,DolphinDSL/dolphin,,18,0,18
matsim-eth/av,matsim-eth/av,,18,0,18
sigmaai/self-driving-golf-cart,sigmaai/self-driving-golf-cart,,18,0,18
deepdrive/deepdrive,deepdrive/deepdrive,,19,0,19
amodeus-science/amod,amodeus-science/amod,,19,0,19
BeamNG/BeamNGpy,BeamNG/BeamNGpy,,19,0,19
CivicTechVancouver/civic-tech-yvr-16,CivicTechVancouver/civic-tech-yvr-16,,18,0,18
bark-simulator/bark,bark-simulator/bark,,19,0,19
continental/ecal,continental/ecal,,18,0,18
tier4/AutomanTools,tier4/AutomanTools,,19,0,19
cv-core/MIT-Driverless-CV-TrainingInfra,cv-core/MIT-Driverless-CV-TrainingInfra,,18,0,18
Robofied/Awesome-Computer-Vision-Guide,Robofied/Awesome-Computer-Vision-Guide,,18,0,18
JdeRobot/BehaviorStudio,JdeRobot/BehaviorStudio,,18,0,18
IMAGINARY/ethics-vehicles,IMAGINARY/ethics-vehicles,,18,0,18
hyrise/Cockpit,hyrise/Cockpit,,18,0,18
42-AI/42ai_autonomous_cars,42-AI/42ai_autonomous_cars,,18,0,18
smoke-trees/gesture-drive,smoke-trees/gesture-drive,,18,0,18
Photon-Lab/LiDAR-Robo-Car,Photon-Lab/LiDAR-Robo-Car,,18,0,18
tsinghua-rll/VoxelNet-tensorflow,tsinghua-rll/VoxelNet-tensorflow,,1,1,1
lgsvl/simulator,lgsvl/simulator,,3,1,3
generalized-intelligence/GAAS,generalized-intelligence/GAAS,,1,1,1
lgsvl/lanefollowing,lgsvl/lanefollowing,,2,1,2
nap-lab/apollo-documentation,nap-lab/apollo-documentation,,1,1,1
for-geeks/geek-car,for-geeks/geek-car,,2,1,2
tareeq-av/tareeqav,tareeq-av/tareeqav,,2,1,2
HotzoneAuto/diamond-auto,HotzoneAuto/diamond-auto,,2,1,2
intel/ad-rss-lib,intel/ad-rss-lib,,1,4,1
CSLDepend/AVFI,CSLDepend/AVFI,,2,4,2
argos-research/autonomous-driving,argos-research/autonomous-driving,,1,4,1
bark-simulator/bark-ml,bark-simulator/bark-ml,,2,4,2
AuroAi/docker_tensorflow,AuroAi/docker_tensorflow,,1,4,1
carla-simulator/leaderboard,carla-simulator/leaderboard,,4,4,4
duckietown/gym-duckietown,duckietown/gym-duckietown,,1,0,1
srmauvsoftware/alpheus,srmauvsoftware/alpheus,,2,2,2
srmauvsoftware/srmauvsoftware.github.io,srmauvsoftware/srmauvsoftware.github.io,,2,2,2
srmauvsoftware/srmauv,srmauvsoftware/srmauv,,2,2,2
bmj-autonomous/muleAI,bmj-autonomous/muleAI,,1,1,1
se2p/tool-competition-av,se2p/tool-competition-av,,1,0,1
usdot-fhwa-stol/carma-platform,usdot-fhwa-stol/carma-platform,,3,3,3
usdot-fhwa-stol/carma-messenger,usdot-fhwa-stol/carma-messenger,,3,3,3
autowarefoundation/modelzoo,autowarefoundation/modelzoo,,2,3,2
usdot-fhwa-stol/carma-cloud,usdot-fhwa-stol/carma-cloud,,2,3,2
erdos-project/erdos,erdos-project/erdos,,2,4,2
erdos-project/pylot,erdos-project/pylot,,2,4,2
tier4/AutowareArchitectureProposal.proj,tier4/AutowareArchitectureProposal.proj,,2,3,2
open-mmlab/OpenPCDet,open-mmlab/OpenPCDet,,1,1,1
szenergy/nissanleaf-lgsvl,szenergy/nissanleaf-lgsvl,,0,17,0
aSmartVehicle/esp32driver,aSmartVehicle/esp32driver,,0,12,0
aSmartVehicle/esp32driver-board,aSmartVehicle/esp32driver-board,,0,12,0
aSmartVehicle/app-android,aSmartVehicle/app-android,,0,12,0
szenergy/awesome-lidar,szenergy/awesome-lidar,,0,17,0
szenergy/szenergy-utility-programs,szenergy/szenergy-utility-programs,,0,17,0
Roboy/autonomous_driving_v2,Roboy/autonomous_driving_v2,,0,37,0
KNR-Selfie/selfie_carolocup2020,KNR-Selfie/selfie_carolocup2020,,0,29,0
hit-haui/car_controller_notTrashCar,hit-haui/car_controller_notTrashCar,,0,23,0
fpt-corp/DiRa,fpt-corp/DiRa,,0,23,0
hit-haui/data-generator-notTrashCar,hit-haui/data-generator-notTrashCar,,0,23,0
hit-haui/model_notTrashCar,hit-haui/model_notTrashCar,,0,23,0
Roboy/autonomous_driving_src,Roboy/autonomous_driving_src,,0,37,0
Roboy/autonomous_driving,Roboy/autonomous_driving,,0,37,0
KNR-Selfie/selfie_carolocup2019,KNR-Selfie/selfie_carolocup2019,,0,29,0
KNR-Selfie/selfie_f1tenth,KNR-Selfie/selfie_f1tenth,,0,29,0
monoDriveIO/documentation,monoDriveIO/documentation,,0,43,0
VapeRC/Robocar,VapeRC/Robocar,,0,37,0
KNR-Selfie/selfie-archive-cc-iarrc2018,KNR-Selfie/selfie-archive-cc-iarrc2018,,0,29,0
TUM-AERIUS/Aerius,TUM-AERIUS/Aerius,,0,37,0
joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,joytafty-work/Rimchala_CarND-Traffic-Sign-Classifier-Project,,0,43,0
udacity-om/CarND-Capstone,udacity-om/CarND-Capstone,,0,43,0
udacity/isdc-router-planner-project,udacity/isdc-router-planner-project,,0,43,0
bedlamite5/CarND-Capstone,bedlamite5/CarND-Capstone,,0,43,0
udacity/CarND-Unscented-Kalman-Filter-Project,udacity/CarND-Unscented-Kalman-Filter-Project,,0,43,0
deepdrive/deepdrive-zero,deepdrive/deepdrive-zero,,0,43,0
unstoppables/Real-Self-Driving-Car,unstoppables/Real-Self-Driving-Car,,0,43,0
tokyo-drift/capstone-project,tokyo-drift/capstone-project,,0,43,0
TeamPerceptronics/Capstone,TeamPerceptronics/Capstone,,0,43,0
TeamDoernbach/SDCNanodegreeCapstone,TeamDoernbach/SDCNanodegreeCapstone,,0,43,0
Self-Driving-Car-NDegree-M-Russo/CarND-P1-Lane-Lines,Self-Driving-Car-NDegree-M-Russo/CarND-P1-Lane-Lines,,0,43,0
whats-in-a-name/CarND-Capstone,whats-in-a-name/CarND-Capstone,,0,43,0
ZhuiFengChaseWind/Self-Driving_Car_Capstone,ZhuiFengChaseWind/Self-Driving_Car_Capstone,,0,43,0
buyforgirl/CarND-LaneLines-P1,buyforgirl/CarND-LaneLines-P1,,0,43,0
udacity/CarND-TensorFlow-Lab-Fork,udacity/CarND-TensorFlow-Lab-Fork,,0,43,0
joytafty-work/Rimchala_CarND-Vehicle-Detection,joytafty-work/Rimchala_CarND-Vehicle-Detection,,0,43,0
joytafty-work/Rimchala_CarND-Advanced-Lane-Lines,joytafty-work/Rimchala_CarND-Advanced-Lane-Lines,,0,43,0
joytafty-work/Rimchala_CarND-LaneLines-P1,joytafty-work/Rimchala_CarND-LaneLines-P1,,0,43,0
udacity/CarND-Extended-Kalman-Filter-Project,udacity/CarND-Extended-Kalman-Filter-Project,,0,43,0
teamsoulless/self-driving-car-sim,teamsoulless/self-driving-car-sim,,0,43,0
udacity/self-driving-car-sim,udacity/self-driving-car-sim,,0,43,0
